date,zx_1,zx_2,zx_3,hs300,zhongzhai10,nh_gyp,nh_ncp,nh_js,nh_nh,zz500,zz1000,sz50,hs300_cz,hs301_jz,zz500_cz,zz501_jz,300zq,300fz
2019/7/3,3669.9834,3672.237,3683.4919,3893.5341,166.3989,2336.05,754.44,3410.14,1358.08,5040.7227,5428.5142,2964.7309,4615.321,5050.3878,5335.4623,7518.8504,3905.3289,4167.2918
2019/7/2,3712.6622,3714.942,3726.289,3937.1691,166.1052,2358.53,756.33,3416.48,1384.1,5084.41,5483.515,2999.0759,4687.8154,5067.3599,5389.4646,7546.5692,3936.0459,4227.7351
2019/7/1,3709.3114,3711.5892,3720.9477,3935.8116,165.5559,2364.72,758.97,3436.17,1382.93,5100.2619,5481.4086,3002.9395,4682.8544,5067.783,5391.2971,7560.2747,3944.9423,4215.48
2019/6/28,3610.7426,3612.9599,3620.9841,3825.5873,165.5503,2329.38,761.03,3399.75,1360.01,4950.4798,5321.4331,2930.5982,4505.7425,4970.1464,5213.6509,7372.4006,3866.8416,4063.3264
2019/6/27,3656.7904,3659.036,3667.8157,3834.8172,165.3373,2322.05,761.39,3373.2,1361.14,5007.4833,5397.5712,2937.1283,4512.5411,4978.6571,5261.7115,7453.9853,3870.6976,4078.8937
2019/6/26,3654.5183,3656.7625,3664.7368,3794.331,165.3955,2316.84,759.07,3360.09,1363.13,4962.5936,5351.391,2903.4868,4448.2644,4937.1265,5202.1924,7399.06,3829.4713,4036.2111
2019/6/25,3670.7422,3672.9963,3680.6452,3801.3098,165.4009,2308.91,761.83,3349.211,1358,4974.9882,5351.6898,2910.1212,4442.0605,4946.1235,5189.3341,7425.956,3855.756,4023.3732
2019/6/24,3697.6253,3699.8959,3708.4652,3841.2659,165.3571,2302.59,760.94,3321.79,1363.64,5024.2046,5403.7981,2949.5176,4492.4886,5022.4225,5248.0251,7501.2002,3905.0957,4056.3848
2019/6/21,3713.1186,3715.3987,3724.0177,3833.9383,165.3696,2290.59,760.66,3307.88,1354.73,5021.3051,5406.04,2938.7729,4469.1047,5011.8108,5232.5289,7473.6156,3895.3327,4051.083
2019/6/20,3658.2685,3660.515,3669.8926,3828.5183,165.3643,2292.62,757.92,3320.06,1350.88,4954.7338,5317.31,2942.6287,4472.253,5028.2918,5164.9159,7407.0451,3894.8853,4040.0283
2019/6/19,3590.1912,3592.3959,3602.0741,3715.9381,165.2748,2266.51,760.14,3281.08,1335.97,4858.9164,5234.2753,2842.7358,4319.9025,4886.0018,5063.8342,7273.2391,3761.7639,3940.8041
2019/6/18,3546.4169,3548.5947,3557.7645,3667.6185,165.3664,2238.56,761.82,3241.11,1321.84,4797.1468,5160.8783,2806.454,4238.4295,4839.7303,4996.0852,7195.0718,3718.4609,3883.658
2019/6/17,3557.6076,3559.7922,3569.7602,3654.8248,165.4638,2235.06,768.73,3219.07,1325.68,4802.8185,5160.6726,2793.7037,4219.9594,4823.5776,5012.3109,7207.4573,3707.3495,3868.1547
2019/6/14,3575.6389,3577.8346,3588.1063,3654.8799,165.3187,2253.75,765.25,3254.27,1330.94,4795.5267,5173.0685,2785.6055,4226.5991,4811.3027,5009.6435,7189.9293,3696.6962,3879.4761
2019/6/13,3656.4663,3658.7116,3670.5259,3685.3933,165.137,2269.4,768.79,3263.31,1344.38,4877.6505,5294.1125,2794.5361,4258.4099,4840.8649,5088.9393,7306.5747,3721.4613,3918.4578
2019/6/12,3633.8111,3636.0425,3647.9279,3691.0957,164.9929,2248.95,757.67,3238.3,1334.26,4863.4922,5264.8861,2796.7319,4272.4433,4854.0238,5067.0716,7284.2661,3725.4256,3926.4606
2019/6/11,3664.2756,3666.5258,3678.348,3719.2759,164.9003,2282.79,761.09,3260.43,1361.43,4901.4723,5289.6243,2812.8986,4304.2603,4883.7325,5108.796,7360.3492,3748.0463,3962.7328
2019/6/10,3536.9492,3539.1212,3550.3073,3610.7435,165.2897,2242.3,756.77,3174.63,1349.55,4725.2643,5098.9383,2743.3745,4168.148,4784.4599,4929.8365,7101.1895,3659.2012,3824.8998
2019/6/6,3500.8088,3502.9586,3514.7544,3564.6778,165.3331,2223.44,757.5,3173.83,1326.64,4678.7844,5030.8005,2706.7621,4095.4252,4715.7247,4869.164,7053.4491,3616.8486,3771.4181
2019/6/5,3563.4178,3565.606,3579.4821,3597.105,165.1542,2228.76,772.15,3189.72,1325.41,4783.8245,5158.4652,2719.5949,4135.0025,4733.4624,4986.3005,7174.8094,3635.7817,3820.8309
2019/6/4,3555.0964,3557.2795,3567.1534,3598.4666,165.1542,2227.89,776.27,3187.4,1325.31,4795.4129,5160.9769,2721.3139,4152.4643,4727.7676,4996.7096,7194.5379,3625.0833,3835.3337
2019/6/3,3593.8439,3596.0508,3606.5584,3632.0127,164.8824,2221.42,769.39,3170.25,1324.71,4853.8153,5255.0737,2743.0644,4211.6887,4757.0766,5054.7814,7268.2027,3649.8655,3880.8328
2019/5/31,3648.437,3650.6774,3661.566,3629.7893,164.4867,2263.06,776.16,3204.23,1355.28,4912.0005,5334.2477,2728.9459,4219.8777,4750.5079,5121.6746,7350.3148,3648.0522,3878.0018
