date,ckzbj,USDCNY,hqckll,dqckll_3,dqckll_6,dqdkll_1y,ccqdklv_5y,gjjdkll_5y,shibor_gy,shibor_1,shibor_1y,zzgz_1,zzgz_2,zzgz_1y,zzgz_10y
2010/09/21,,6.5813 ,,,,,,,1.8069 ,3.4392 ,2.6611 ,1.6061 ,1.7645 ,1.9311 ,3.3391 
2010/09/22,,6.5780 ,,,,,,,,,,,,,
2010/09/24,,6.5771 ,,,,,,,,,,,,,
2010/09/25,,,,,,,,,1.8971 ,3.4592 ,2.6652 ,1.6532 ,1.7930 ,1.9341 ,3.3387 
2010/09/26,,,,,,,,,1.7735 ,3.5517 ,2.6700 ,1.6101 ,1.8050 ,1.9347 ,3.3428 
2010/09/27,,6.5630 ,,,,,,,1.7123 ,3.6258 ,2.6711 ,1.5907 ,1.8140 ,1.9456 ,3.3378 
2010/09/28,,6.5694 ,,,,,,,1.7814 ,3.7283 ,2.6736 ,1.6522 ,1.8440 ,1.9462 ,3.3371 
2010/09/29,,6.5529 ,,,,,,,1.7466 ,3.7592 ,2.6755 ,1.6443 ,1.8540 ,1.9442 ,3.3310 
2010/09/30,,6.5463 ,,,,5.31 ,,,2.5975 ,3.5067 ,2.6793 ,1.6681 ,1.8340 ,1.9459 ,3.3183 
2010/10/04,,6.5114 ,,,,,,,,,,,,,
2010/10/05,,6.5358 ,,,,,,,,,,,,,
2010/10/06,,6.4987 ,,,,,,,,,,,,,
2010/10/07,,6.4858 ,,,,,,,,,,,,,
2010/10/08,,6.4702 ,,,,,,,1.7325 ,3.0750 ,2.6781 ,1.6059 ,1.7971 ,1.9493 ,3.3342 
2010/10/09,,,,,,,,,1.7299 ,2.8464 ,2.6776 ,1.5945 ,1.7958 ,1.9498 ,3.3584 
2010/10/11,,6.4513 ,,,,,,,1.6683 ,2.7631 ,2.6785 ,1.5741 ,1.7831 ,1.9370 ,3.4040 
2010/10/12,,6.4381 ,,,,,,,1.6375 ,2.6390 ,2.6811 ,1.5541 ,1.7751 ,1.9397 ,3.4179 
