date,syhg,mtkc,gysy,fdc,,,
2011-02-15,2742.37,5902.38,2050.14,2827.37,,,
2011-02-16,2769.86,6056.79,2070.4,2841.16,,,
2011-02-17,2797.81,6023.94,2071.53,2820.32,,,
2011-02-18,2752.98,5890.94,2054.28,2815.11,,,
2011-02-21,2805.93,6013.34,2092.51,2849.76,,,
2011-02-22,2727.92,5872.66,2045.9,2762.26,,,
2011-02-23,2779.38,5872.23,2062.29,2793.76,,,
2011-02-24,2793.9,5955.17,2071.2,2816.21,,,
2011-02-25,2777.64,5936.9,2076.51,2811.86,,,
2011-02-28,2798.38,6044.11,2091.79,2836.97,,,
2011-03-01,2806,6061.41,2109.81,2882.4,,,
2011-03-02,2788.42,6033.62,2103.87,2870.9,,,
2011-03-03,2737.66,5898.5,2080.99,2852.22,,,
2011-03-04,2773.24,6053.41,2100.67,2912.19,,,
2011-03-07,2827.45,6579.85,2129.6,2941.01,,,
2011-03-08,2803.51,6547.87,2136.84,2966.85,,,
2011-03-09,2806.61,6515.28,2135.05,2958.24,,,
2011-03-10,2786.79,6280.4,2110.7,2947.95,,,
2011-03-11,2785.24,6209.41,2097.11,2908.95,,,
2011-03-14,2793.58,6258.78,2109.18,2921.32,,,
2011-03-15,2746.61,6041.88,2095.3,2886.04,,,
2011-03-16,2775.29,6189.7,2112.26,2904.57,,,
2011-03-17,2761.67,6180.3,2111.46,2861.1,,,
2011-03-18,2777.97,6225.21,2119.52,2904.98,,,
2011-03-21,2791.32,6234.21,2102.84,2925.55,,,
2011-03-22,2760.24,6229.14,2104.48,2921.09,,,
2011-03-23,2793.61,6335.35,2131.59,3008.9,,,
2011-03-24,2815.65,6281.67,2128.43,2999.93,,,
2011-03-25,2832.19,6388.69,2146.15,3061.59,,,
2011-03-28,2834.16,6455.26,2152.7,3070.61,,,
2011-03-29,2804.48,6392.08,2125.22,3062.36,,,
2011-03-30,2790.18,6336.21,2099.79,3027.87,,,
2011-03-31,2732.58,6276.05,2079.5,2983.31,,,
2011-04-01,2742.16,6509.02,2101.05,3049.4,,,
2011-04-06,2801.66,6622.27,2110.64,3090.49,,,
2011-04-07,2817.7,6615.2,2119.75,3095.94,,,
2011-04-08,2885.96,6657.54,2148.62,3099.58,,,
2011-04-11,2872.05,6723.71,2146.34,3034.5,,,
2011-04-12,2882.47,6618.7,2187.84,3036.8,,,
2011-04-13,2915.38,6727.5,2195.71,3078.12,,,
2011-04-14,2944.55,6631.24,2192.37,3037.14,,,
2011-04-15,2994.46,6571.8,2197.21,3098.96,,,
2011-04-18,3008.08,6590.97,2208.88,3141.04,,,
